News#,Title,Matched Words,Score,Polarity
1,"ADVANCED MAGNETICS &lt;ADMG> IN AGREEMENT","advanced(+)",1,Positive
2,"HEALTH RESEARCH FILES FOR BANKRUPTCY","none",0,Neutral
3,"NUMEREX CORP &lt;NMRX> 2ND QTR JAN 31 LOSS","loss(-)",-1,Negative
4,"U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS","none",0,Neutral
5,"U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT","awarded(+)",1,Positive
6,"COMMODORE &lt;CBU>, ATARI IN SETTLEMENT","none",0,Neutral
7,"BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES","supports(+)",1,Positive
8,"TRIANGLE &lt;TRI> BEGINS EXCHANGE OFFER","none",0,Neutral
9,"SOUTHMARK &lt;SM> UNIT IN PUBLIC OFFERING OF STOCK","none",0,Neutral
10,"EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC","none",0,Neutral
11,"FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE","none",0,Neutral
12,"TREASURY BALANCES AT FED ROSE ON MARCH 23","none",0,Neutral
13,"FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID","none",0,Neutral
14,"USX &lt;X> USS UNIT RAISES PRICES","none",0,Neutral
15,"UNIONIST URGES RETALIATION AGAINST JAPAN","none",0,Neutral
16,"EXXON (XON) GETS 99.2 MLN DLR CONTRACT","none",0,Neutral
17,"EATON (ETN) GETS 53.0 MLN DLR CONTRACT","none",0,Neutral
18,"ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA","none",0,Neutral
19,"MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT","none",0,Neutral
20,"MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION","none",0,Neutral
21,"U.S. WHEAT CREDITS FOR JORDAN SWITCHED","none",0,Neutral
22,"DOLLAR EXPECTED TO FALL DESPITE INTERVENTION","fall(-)",-1,Negative
23,"U.S. TO SELL 12.8 BILLION DLRS IN BILLS","none",0,Neutral
24,"INLAND STEEL &lt;IAD> TO BUILD NEW PLANT IN INDIANA","none",0,Neutral
25,"EASTMAN KODAK &lt;EK> TO SELL HOLDINGS","none",0,Neutral
26,"GUINNESS SUES BOESKY IN FEDERAL COURT","sues(-)",-1,Negative
27,"FIRM REDUCES SCEPTRE RESOURCES &lt;SRL> HOLDINGS","none",0,Neutral
28,"GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS","none",0,Neutral
29,"&lt;ACKLANDS LTD> 1ST QTR FEB 28 NET","none",0,Neutral
30,"BULL AND BEAR GROUP A &lt;BNBGA> CUTS FUND PAYOUTS","none",0,Neutral
31,"CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES","none",0,Neutral
32,"CHARTER CO &lt;QCHR> TO COMPLETE REORGANIZATION","none",0,Neutral
33,"NASHUA &lt;NSH> TO PURCHASE PRIVATE DISC MAKER","none",0,Neutral
34,"ALTRON INC &lt;ALRN> 4TH QTR JAN 3","none",0,Neutral
35,"COLLINS FOODS &lt;CF> MOVES UP WARRANT CONVERSION","none",0,Neutral
36,"GENCORP &lt;GY> PROPOSALS WITHDRAWN FROM MEETING","none",0,Neutral
37,"WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986","none",0,Neutral
38,"MONOLITHIC &lt;MMIC> TO DROP GATE ARRAY LINE","none",0,Neutral
39,"API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN","crude(-)",-1,Negative
40,"VERMONT FINANCIAL SERVICES &lt;VFSC> SETS PAYOUT","none",0,Neutral
41,"RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC","none",0,Neutral
42,"VR BUSINESS BROKERS EXPANDS OPERATIONS","none",0,Neutral
43,"CORRECTED - ATT &lt;T> FORMS COMPUTER SALES GROUPS","none",0,Neutral
44,"GREAT ATLANTIC AND PACIFIC TEA CO INC &lt;GAP> DIV","great(+)",1,Positive
45,"GARTNER GROUP &lt;GART> ACQUIRES COMTEC PROGRAM","none",0,Neutral
46,"U.S. CAR SALES DOWN 3.9 PCT IN MID-MARCH","none",0,Neutral
47,"RESORTS INT'L &lt;RT.A> RECEIVES TAKEOVER OFFER","none",0,Neutral
48,"CITICORP &lt;CCI> SEES DOUBLING IN RETAIL BANK NET","none",0,Neutral
49,"WD-40 CO &lt;WDFC> 2ND QTR FEB 28 NET","none",0,Neutral
50,"NASD TO BEGIN SEARCH FOR NEW PRESIDENT","none",0,Neutral
51,"BRAZIL COMPUTER MARKET TO REMAIN CLOSED-MINISTER","none",0,Neutral
52,"METALBANC IN OFFERING","none",0,Neutral
53,"NORTHERN INDIANA PUBLIC SVC &lt;NI> AGAIN OMITS DIV","none",0,Neutral
54,"FED'S JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION","appropriate(+)",1,Positive
55,"FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY","worry(-)",-1,Negative
56,"BORMAN'S INC &lt;BRF> DECLARES QTLY DIVIDEND","none",0,Neutral
57,"INTERLEUKIN-2 &lt;ILTO> DETAILS WARRANT CONVERSION","none",0,Neutral
58,"U.S. CORN ACREAGE SEEN NEAR RECORD LOW","none",0,Neutral
59,"KIRSCHNER &lt;KMDC> COMPLETES PURCHASE","none",0,Neutral
60,"U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS","bonus(+)",1,Positive
61,"FED'S JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR","stabilize(+)",1,Positive
62,"XOMA &lt;XOMA> FILES FOR PUBLIC OFFERING","none",0,Neutral
63,"REPUBLIC AMERICAN &lt;RAWC> PLANS EXCHANGE OFFER","none",0,Neutral
64,"MARYLAND NATIONAL &lt;MDNT> SEES NEW NAME","none",0,Neutral
65,"VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE","none",0,Neutral
66,"GOTTSCHALKS INC &lt;GOT> 4TH QTR NET","none",0,Neutral
67,"BORG-WARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS","none",0,Neutral
68,"CYCLOPS CORP SAYS CYACQ'S AMENDED OFFER RESTATES ORIGINAL CONDITIONS","none",0,Neutral
69,"U.S. SUGAR QUOTA MAY BE EASED, CONGRESSMAN SAYS","eased(+)",1,Positive
70,"MOBIL &lt;MOB> UNIT NAMES GROUP PRESIDENT","none",0,Neutral
71,"SONY &lt;SNE> TO SHIP SAMPLE OPTICAL DISKS","none",0,Neutral
72,"CALIFORNIA MICROWAVE &lt;CMIC> TAKES 3RD QTR CHARGE","none",0,Neutral
73,"CRS SIRRINE PLANS MAJOR RESTRUCTURING, WRITE OFF OF UP 43 MLN DLRS","restructuring(+)",1,Positive
74,"H.F. AHMANSON AND CO &lt;AHM> QTLY DIVIDEND","none",0,Neutral
75,"BORG-WARNER &lt;BOR> TELLS OF TALKS WITH JACOBS","none",0,Neutral
76,"CANADA VOWS TO FIGHT U.S. POTASH ACTION","none",0,Neutral
77,"TRINTOC, UNION CARBIDE TO BUILD METHANOL PLANT","none",0,Neutral
78,"ORMAND INDUSTRIES &lt;OMD> UNIT TO REPAY DEBT","debt(-)",-1,Negative
79,"VOLCKER CALLS DOLLAR SLIDE ENOUGH","enough(+)",1,Positive
80,"NASDAQ MARCH SHORT INTEREST WAS 184.9 MLN SHRS VS 215.7 MLN SHARES IN FEBRUARY","none",0,Neutral
81,"RB INDUSTRIES &lt;RBI> COMPLETES STORE SALES","none",0,Neutral
82,"TRAVELERS &lt;TIC> UNIT SELLS MORTGAGE CERTIFICATES","none",0,Neutral
83,"NASDAQ SHORT INTEREST IN MARCH FALLS","falls(-)",-1,Negative
84,"GOLDMAN SACHS SELLS SIGNET &lt;SBK> UNIT NOTES","none",0,Neutral
85,"NMS PHARMACEUTICAL &lt;NMSI> SETS NEW BLOOD TEST","none",0,Neutral
86,"AMERICAN CAN &lt;AC> SELLS CONVERTIBLE EUROBONDS","none",0,Neutral
87,"GENCORP &lt;GY> TAKEOVER GROUP CANCELS HEARING","none",0,Neutral
88,"GENCORP &lt;GY> FIXES RIGHTS SEPARATION DATE","none",0,Neutral
89,"CANADA ENERGY MINISTER TO MAKE STATEMENT","none",0,Neutral
90,"AMERICAN INTERNATIONAL &lt;AIG> SELLS AFRICAN UNIT","none",0,Neutral
91,"OXFORD INDUSTRIES INC &lt;OXM> 3RD QTR FEB 27","none",0,Neutral
92,"UNION TAKES AMERICAN AIRLINES TO COURT","none",0,Neutral
93,"PORTUGAL MAY HAVE PURCHASED U.S. CORN","none",0,Neutral
94,"TAIWAN TENDERING THURSDAY FOR U.S. CORN","none",0,Neutral
95,"SRI LANKA TENDERING OVERNIGHT FOR WHEAT","none",0,Neutral
96,"BRAZIL ANNOUNCES NEW PLANNING MINISTER","none",0,Neutral
97,"&lt;DIGIGRAPHIC SYSTEMS CORP> 4TH QTR OPER LOSS","loss(-)",-1,Negative
98,"BAYOU &lt;BYOU> IN DEFINITIE MERGER AGREEMENT","none",0,Neutral
99,"APACHE &lt;APA> FILES FOR 100 MLN DLR OFFERING","none",0,Neutral
100,"TRANSCONTINENTAL &lt;TGP> FILES NEW OFFER","none",0,Neutral
101,"COMPUTER IDENTICS CORP &lt;CIDN> 4TH QTR","none",0,Neutral
102,"FLEET TO ACQUIRE ASSETS OF MARK IV &lt;IV> UNIT","none",0,Neutral
103,"MIKRON INSTRUMENT CO &lt;MIKR> 1ST QTR JAN 31","none",0,Neutral
104,"GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS","encouraging(+) | golden(+)",2,Positive
105,"UNISYS &lt;UIS> GETS ORDER FROM SWEDEN","none",0,Neutral
106,"HAWKEYE &lt;HWKB> ISSUES PREFERENCE STOCK","issues(-)",-1,Negative
107,"AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 11.2 PCT","none",0,Neutral
108,"PS GROUP &lt;PSG>, USAIR &lt;U> MOVE UP DEADLINE","none",0,Neutral
109,"TANDON &lt;TCOR> SAYS SEARS &lt;S> STILL CUSTOMER","none",0,Neutral
110,"MERGERS, PUBLIC OFFERS SEEN AMONG CAR DEALERS","none",0,Neutral
111,"COMPREHENSIVE CARE CORP &lt;CMPH> 3RD QTR NET","comprehensive(+)",1,Positive
112,"CHAPMAN &lt;CHPN> IN RESTRUCTURING","restructuring(+)",1,Positive
113,"VESTAR INC &lt;VSTR> YEAR LOSS","loss(-)",-1,Negative
114,"UNIVATION INC &lt;UNIV> EXPANDS EUROPE DISTRIBUTION","none",0,Neutral
115,"&lt;STERLING BANCORP> YEAR NET","none",0,Neutral
116,"FIRST NEW HAMPSHIRE BANKS INC DIV","none",0,Neutral
117,"HOUSE OF FABRICS &lt;HF> QUARTERLY DIVIDEND","none",0,Neutral
118,"Bank of Japan bought 200 to 300 mln dlrs this morning, dealers said.","none",0,Neutral
119,"MIAMI-Brazil and bank advisory committee agree to 60-day extension on credit lines","none",0,Neutral
120,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","modest(+)",1,Positive
121,"Miami-Brazil says it expects to make no interest payments before March 31","none",0,Neutral
122,"CORRECTED-MIAMI-Brazil, bank committee will transmit request for 60-day credit extension","none",0,Neutral
123,"BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","none",0,Neutral
124,"JAPAN'S 1986/87 SUGAR CANE OUTPUT SEEN FALLING","falling(-)",-1,Negative
125,"INDIAN ROCKET LAUNCH FAILS","fails(-)",-1,Negative
126,"AUSTRALIA'S OPPOSITION PARTY GAINING POPULARITY","gaining(+) | opposition(-)",0,Neutral
127,"WEEKS PETROLEUM LTD &lt;WPMA.MEL> CALENDAR 1986","none",0,Neutral
128,"Bank of Japan keeps intervening to hold dollar above 149 yen, brokers","none",0,Neutral
129,"JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS","none",0,Neutral
130,"BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS","none",0,Neutral
131,"Current exchange rates almost within levels agreed by major nations - Sumita","none",0,Neutral
132,"Sumita says major nations cooperated to stabilise currencies.","none",0,Neutral
133,"THAILAND'S FOREIGN RESERVES FALL IN FEBRUARY","fall(-)",-1,Negative
134,"EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","none",0,Neutral
135,"N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY","none",0,Neutral
136,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","issue(-)",-1,Negative
137,"Sumita says Bank of Japan has no intention of lowering its discount rate","none",0,Neutral
138,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","none",0,Neutral
139,"JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986","sharply(-)",-1,Negative
140,"HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION","none",0,Neutral
141,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","none",0,Neutral
142,"CHINA'S FIRST JOINT VENTURE BANK REPORTS PROFIT","none",0,Neutral
143,"BANGLADESH'S PAYMENTS DEFICIT NARROWS IN OCTOBER","none",0,Neutral
144,"PEKING FACES WATER RATIONING","none",0,Neutral
145,"U.S.-CHINA CIGARETTE FILTER JOINT VENTURE SET UP","none",0,Neutral
146,"TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING","none",0,Neutral
147,"NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER","none",0,Neutral
148,"DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 6-1/4 PCT - OFFICIAL","none",0,Neutral
149,"YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS","none",0,Neutral
150,"SINGAPORE SECURITIES MARKET CONSIDERING CHANGES","none",0,Neutral
151,"NEW DUTCH BULLET STATE LOAN AT 6-1/4 PCT DUE 1995","none",0,Neutral
152,"BRUSSELS - Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills.","none",0,Neutral
153,"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987","none",0,Neutral
154,"EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN","fail(-) | deadlock(-)",-2,Negative
155,"MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT","none",0,Neutral
156,"FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS","worth(+)",1,Positive
157,"AIRLINES CAN INCREASE HONG KONG/MANILA FLIGHTS","none",0,Neutral
158,"SWIRE PACIFIC LTD &lt;SWPC.HKG> YEAR 1986","none",0,Neutral
159,"BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion","none",0,Neutral
160,"BAT INDUSTRIES PLC &lt;BTI.L> 1986 YEAR","none",0,Neutral
161,"SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS","issue(-) | bonus(+)",0,Neutral
162,"Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources","none",0,Neutral
163,"SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR","none",0,Neutral
164,"NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION","none",0,Neutral
165,"DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT","fall(-)",-1,Negative
166,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","none",0,Neutral
167,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","none",0,Neutral
168,"ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT","none",0,Neutral
169,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND","issues(-)",-1,Negative
170,"MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES","none",0,Neutral
171,"BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT","none",0,Neutral
172,"GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS","none",0,Neutral
173,"CITIBANK LAUNCHES CURRENCY WARRANTS","none",0,Neutral
174,"MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL","none",0,Neutral
175,"BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS","none",0,Neutral
176,"SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER","none",0,Neutral
177,"BICC PLC &lt;BICC.L> 1986 YEAR","none",0,Neutral
178,"TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR","none",0,Neutral
179,"PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150","killed(-)",-1,Negative
180,"CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS","reforms(+)",1,Positive
181,"NIPPON STEEL TO REDUCE DIVIDEND","none",0,Neutral
182,"BAT SEES STRONG PERFORMANCE FROM ALL SECTORS","strong(+)",1,Positive
183,"CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER","crisis(-) | premier(+)",0,Neutral
184,"TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY","sharply(-)",-1,Negative
185,"BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT","wins(+)",1,Positive
186,"JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT","none",0,Neutral
187,"BABCOCK INTERNATIONAL PLC &lt;BABK.L> YEAR 1986","none",0,Neutral
188,"VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS","none",0,Neutral
189,"DELTA GROUP &lt;DLTL.L> YEAR TO JAN 3.","none",0,Neutral
190,"PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING","gold(+)",1,Positive
191,"BELGIAN PUBLIC DEBT RISES IN FEBRUARY","debt(-)",-1,Negative
192,"BABCOCK EXPECTS FURTHER PROGRESS IN 1987","progress(+)",1,Positive
193,"EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL","none",0,Neutral
194,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS","none",0,Neutral
195,"WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN","none",0,Neutral
196,"SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER","none",0,Neutral
197,"CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON","strike(-)",-1,Negative
198,"NORWAY ISSUES 60 BILLION YEN EUROBOND","issues(-)",-1,Negative
199,"BROCKWAY AIR TO BUY FIVE SAAB PLANES","none",0,Neutral
200,"SAAB-SCANIA LAUNCHES 100 MLN DLR EURO-CP PROGRAM","none",0,Neutral
201,"BRITISH COMPOUND FEED PRODUCTION DETAILED","none",0,Neutral
202,"KLOECKNER UND CO'S 1986 PROFIT FALLS ABOUT 20 PCT","falls(-)",-1,Negative
203,"MIXED ASIAN REACTION TO NEW RUBBER PACT","none",0,Neutral
204,"CIBA-GEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE","none",0,Neutral
205,"KRUPP TO BUILD SOUTH KOREAN STEEL PLANT","none",0,Neutral
206,"SWIRE EXPECTS CONTINUED GROWTH THIS YEAR","none",0,Neutral
207,"UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULT-TRADE","tender(+)",1,Positive
208,"ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID","none",0,Neutral
209,"CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE","killed(-)",-1,Negative
210,"RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT","progressive(+)",1,Positive
211,"BANK OF THAILAND PLANS ITS FIRST BOND ISSUE","issue(-)",-1,Negative
212,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","none",0,Neutral
213,"YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS","none",0,Neutral
214,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","modest(+)",1,Positive
215,"BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","none",0,Neutral
216,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","none",0,Neutral
217,"U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS","none",0,Neutral
218,"BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET","none",0,Neutral
219,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","none",0,Neutral
220,"EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","none",0,Neutral
221,"AFGHAN BOMBING TOLL ALMOST 150","toll(-)",-1,Negative
222,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","none",0,Neutral
223,"SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT","none",0,Neutral
224,"CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON","none",0,Neutral
225,"BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS","fail(-) | breakthrough(+) | debt(-)",-1,Negative
226,"CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO","reform(+) | irrational(-)",0,Neutral
227,"SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND","drought(-) | severe(-)",-2,Negative
229,"OCEAN TRANSPORT AND TRADING PLC &lt;OTTL.L> YEAR 1986","none",0,Neutral
230,"DART GROUP RAISES SUPERMARKETS GENERAL &lt;SGL> BID","none",0,Neutral
231,"OLSON INDUSTRIES INC &lt;OLSN> 4TH QTR NET","none",0,Neutral
232,"OLSON &lt;OLSN> TO HAVE LOSS FROM EGG UNIT SALE","loss(-)",-1,Negative
233,"JEFFERIES &lt;JEFG> SETS SUPERMARKETS &lt;SGL> MARKET","none",0,Neutral
234,"E.D. And F. MAN TO BUY INTO HONG KONG FIRM","none",0,Neutral
235,"ORACLE CORP &lt;ORCL> 3RD QTR FEB 28 NET","none",0,Neutral
236,"DISNEY &lt;DIS> OPENING EXPERIMENTAL RETAIL OUTLET","none",0,Neutral
237,"ENTERRA CORP &lt;EN> 4TH QTR LOSS","loss(-)",-1,Negative
238,"JOHNSTOWN/CONSOLIDATED REALTY TRUST &lt;JCT> NET","trust(+)",1,Positive
239,"DURIRON &lt;DURI> COMPLETES VALTEK &lt;VALT> PURCHASE","none",0,Neutral
240,"WASHINGTON FEDERAL SAVINGS &lt;WFSL> QUARTERLY DIV","savings(+)",1,Positive
241,"SINGER &lt;SMF> GETS TEXAS AIR &lt;TEX> CONTRACT","none",0,Neutral
242,"ROWLEY-SCHER &lt;RSCH> TO HAVE LOSS FOR YEAR","loss(-)",-1,Negative
243,"DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER","tender(+)",1,Positive
244,"LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT","debt(-)",-1,Negative
245,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","issue(-)",-1,Negative
246,"DIXONS GETS ONLY 20 PCT OF CYCLOPS &lt;CYL> IN BID","none",0,Neutral
247,"OPPOSITION SAYS UK GOV'T GAVE ARMS TO CONTRAS","opposition(-)",-1,Negative
248,"BRAZIL ANNOUNCES NEW PLANNING MINISTER","none",0,Neutral
249,"CITIBANK LAUNCHES CURRENCY WARRANTS","none",0,Neutral
250,"KAUFMAN AND BROAD HOME CORP &lt;KBH> 1ST QTR FEB 28","none",0,Neutral
251,"METRO CABLE &lt;METO> TO SELL PARTNERSHIP","none",0,Neutral
